Date,Currency,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2021-04-03,ETH,2036.7518967658,2133.6128896764,2137.402747669,2004.6928828906
2021-04-04,ETH,2067.5147852089,2011.488248889,2093.7689477643,1983.9925356363
2021-04-05,ETH,2114.1439392315,2076.9769703868,2129.8714520031,2005.4618616129
2021-04-06,ETH,2117.5958108286,2107.4649993634,2151.2542487619,2045.3981058766
2021-04-07,ETH,2011.5504260806,2113.3742316348,2129.3914584458,1933.9071226333
2021-04-08,ETH,2069.660876338,1964.6033762581,2076.8113842204,1950.8914647371
2021-04-09,ETH,2070.601411041,2081.3857854027,2100.2333978021,2050.166955436
2021-04-10,ETH,2118.7059924048,2067.6584243107,2190.7092711711,2059.1617438466
2021-04-11,ETH,2137.0958672385,2133.3263675309,2164.1317975,2111.8299026016
2021-04-12,ETH,2144.4204637437,2151.4067715514,2199.8678801696,2103.671604266
2021-04-13,ETH,2280.9078630653,2137.2770470089,2315.936260515,2135.7268702877
2021-04-14,ETH,2427.8050868766,2299.0545071039,2438.9820496353,2282.7455765206
2021-04-15,ETH,2538.0625778344,2432.6930179144,2542.4273568582,2401.6381877396
2021-04-16,ETH,2438.4295943481,2516.3931678179,2541.5489656186,2328.8307180376
2021-04-17,ETH,2374.755809849,2426.476182434,2495.9216094439,2320.2850168398
2021-04-18,ETH,2249.0086956254,2323.3844151805,2344.3695980676,1978.2242471669
2021-04-19,ETH,2201.6483511822,2242.321493472,2278.9213763161,2086.2029451837
2021-04-20,ETH,2329.1773316843,2164.4719607254,2348.5936136231,2056.2511401256
2021-04-21,ETH,2365.5466472092,2333.2349689901,2470.5075127358,2240.7964866808
2021-04-22,ETH,2424.2205214138,2358.3307230314,2645.141826981,2305.7795403965
2021-04-23,ETH,2329.0314833535,2400.1871252625,2441.9569665034,2107.2913726472
2021-04-24,ETH,2271.378121535,2371.5474681884,2372.6390279134,2172.4091466546
2021-04-25,ETH,2276.2280187885,2219.5625181604,2361.7462351617,2169.992059686
2021-04-26,ETH,2515.3095038267,2323.5880412371,2543.4765692276,2307.7168538942
2021-04-27,ETH,2624.3557189947,2534.8911547491,2683.3023428345,2485.4151824697
2021-04-28,ETH,2726.1520318035,2668.8363944373,2763.0208474853,2563.8179880373
2021-04-29,ETH,2760.3349559568,2750.4995848315,2797.02416887,2676.2941652286
2021-04-30,ETH,2751.8717637673,2759.2553611558,2801.3380550741,2728.4684820646
2021-05-01,ETH,2943.1760512939,2774.4351009203,2949.8953341296,2756.9024280481
2021-05-02,ETH,2941.1423331647,2946.2207338561,2985.3174543951,2856.3399334689
2021-05-03,ETH,3393.3273810235,2952.6361959319,3398.2022053087,2952.5721735204
2021-05-04,ETH,3266.4455483605,3433.2022853452,3530.3866284976,3174.547411456
2021-05-05,ETH,3495.9683427626,3242.6972677484,3520.5687156873,3213.386842006
2021-05-06,ETH,3541.9305747705,3526.1280716724,3605.4984362179,3381.0131158151
2021-05-07,ETH,3445.4267389274,3492.1575427475,3589.9008622991,3361.4365362292
2021-05-08,ETH,3882.8052599473,3486.4400126066,3962.1183297692,3456.990602582
